"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2018,Margin of Error1,Second         Quarter       2018,Margin of Error1,Third         Quarter       2018,Margin of Error1,Fourth         Quarter       2018,Margin of Error1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",0.5,1.4,0.0,(z),0.0,(z),0.0,(z),,,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",1.8,2.8,0.4,1.3,2.0,2.6,2.5,3.3,,,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",1.9,1.3,1.7,1.2,2.0,1.4,1.4,1.1,,,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",0.0,(z),0.0,(z),1.8,2.5,1.7,2.6,,,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",1.2,0.8,0.9,0.8,0.7,0.7,1.6,1.0,,,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",1.8,1.9,1.4,1.7,0.5,1.0,1.1,1.4,,,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",1.3,1.3,0.9,1.1,2.4,1.8,1.8,1.5,,,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",0.9,1.2,1.5,1.6,1.7,1.7,1.4,1.6,,,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",1.8,1.8,1.8,1.6,1.7,1.6,1.9,1.8,,,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",0.3,0.4,1.3,0.8,1.0,0.7,1.2,0.8,,,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",2.0,2.5,2.7,2.9,1.3,2.0,0.4,1.1,,,,,,,,,,,,
