RegionID,RegionName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
395096,"Springfield, MO",114784,113618,112685,112114,112075,111910,111950,111833,111590,111460,111859,112406,113347,113976,114529,115043,115586,116112,116549,117009,117593,118119,118291,118410,118464,118938
395116,"York, PA",149517,150288,151056,151682,152595,153605,154747,155418,156083,156689,157663,158215,159059,159747,160655,161574,162579,163610,164623,166156,167865,169955,171963,174342,176639,179256
395244,"Corpus Christi, TX",182314,183034,183613,184249,184943,185754,187125,188027,188550,188898,189486,190485,191519,191821,191904,192385,192851,193814,194406,195960,197670,199815,201945,204197,206555,209697
394502,"Flint, MI",161606,161456,161815,162232,162848,162922,163183,163761,164607,165316,165922,167052,168387,169625,170352,171187,171970,173201,174321,175495,176604,177980,179321,180393,181386,182575
394596,"Reno, NV",119819,120790,122045,123367,124325,125337,126550,127259,127768,127763,128789,129262,128949,128767,129064,130122,130926,131570,132286,133373,135027,137227,138944,141268,144327,147371
395019,"Asheville, NC",388690,389959,390442,390234,391350,393075,392917,391306,391029,392543,394013,394555,395984,397389,399550,400993,402696,403875,407148,412112,417812,423364,429530,437012,444265,452590
394338,"Port St. Lucie, FL",264753,265518,266341,267180,267713,268532,269321,270073,271053,271746,272887,273489,274402,275035,276173,277274,278990,280715,282784,285252,287952,291103,294202,298135,302309,307131
394995,"Santa Maria-Santa Barbara, CA",232631,233172,233414,234363,235037,235315,235633,235974,236752,237531,238397,239478,240828,241179,241528,241488,242531,243872,245423,247300,249254,251371,253784,256308,259352,263544
753917,"Huntsville, AL",643636,644941,643060,640416,638847,642246,645337,646763,645708,646662,648667,651452,652950,655810,658964,664865,670031,672613,674657,679351,686971,695336,702559,708721,715241,722001
394698,"Fort Wayne, IN",180029,180010,180289,181034,182349,183650,184729,185382,186354,187218,188479,190224,192295,195053,197824,200402,202333,204148,206203,208838,211512,214183,216459,218641,220645,222304
394612,"Salinas, CA",140407,141360,142569,143643,144582,145185,146145,147191,148241,148977,149507,149941,150666,151603,152478,153380,154430,155682,156558,157604,158865,160681,162710,164942,167041,169248
395050,"Vallejo, CA",599821,601920,603520,605150,604564,605784,605485,606496,605537,605993,606999,608034,611543,613661,616812,618752,623939,628401,633905,638813,645544,652088,658509,665759,672485,680358
395183,"Mobile, AL",443387,441870,441287,443498,444229,445351,448536,451234,452102,451139,449598,448575,450069,451537,454437,455898,457705,459295,459859,461494,465080,470680,476903,483578,490166,497012
394870,"Reading, PA",121387,121695,122301,122777,123130,123646,124194,124835,125124,125696,126309,127201,127977,128804,129586,130333,131163,131962,132792,133788,135251,136638,137998,139298,140668,142199
395015,"Brownsville, TX",183852,184389,184872,185258,185761,186730,187431,187989,188459,189249,190236,191342,192278,193107,194264,195457,196656,197571,198933,200584,202469,204253,206090,208127,210090,212180
394421,"Killeen, TX",99830,100553,101177,101468,101504,101896,102287,102854,102924,103046,103110,103892,104844,105632,106221,106997,108130,109288,110476,111707,113176,114780,116409,117553,118620,119737
394746,"Canton, OH",148002,148377,148848,149580,150431,151299,152119,152614,153226,153898,154631,155570,156315,157104,157801,158556,159507,160502,161562,162869,164314,165935,167726,169455,171486,173654
394439,"Beaumont, TX",130606,131466,132086,132523,133263,134253,135408,136065,136534,137030,137605,138311,139121,139941,140966,142008,142893,143720,144539,145832,147336,148830,150363,151942,153500,155097
394372,"Manchester, NH",124894,125262,125765,126097,126276,126324,126515,127025,127488,127509,127255,127178,127615,128007,128188,128480,129089,129849,130567,131111,131727,132567,133699,134831,135800,136907
394820,"Salem, OR",295601,296881,297265,297589,299475,301783,303749,304210,304303,305095,305956,307094,308638,311107,314514,317629,319531,321458,323826,327390,331782,336015,340905,345624,350290,354473
395048,"Anchorage, AK",297200,298536,299703,300322,301238,302442,303710,304322,304409,303927,304006,304674,306379,308271,310062,311825,313450,315557,317818,320641,323854,327913,331751,335536,338725,342168
394327,"Davenport, IL",296113,299937,304402,311465,312681,314498,314091,315737,317775,318917,320523,319892,319832,316668,314405,310177,309353,307946,307909,306896,306004,306146,306109,307997,309374,311325
394520,"Peoria, IL",129582,129682,129611,129592,129914,130491,130956,131532,132249,132890,133306,133316,133244,133324,133675,134110,134422,134728,135086,135375,135539,135830,136282,137117,138045,139038
394972,"Myrtle Beach, SC",112637,112527,112336,112479,112729,113121,113222,113123,112980,113157,113287,113503,113757,114001,114260,114378,114462,114557,114876,115434,116010,116480,117026,117550,118112,118748
394898,"Montgomery, AL",201885,203135,203336,203554,203158,203242,203692,204200,204871,205122,205763,206405,207272,207366,208034,208718,210230,211573,212926,214405,216018,218017,220003,222179,224406,227140
394875,"Salisbury, MD",133894,134307,134683,135057,135224,135564,135782,136109,136371,136686,136907,137018,137355,137881,138556,138982,139658,140268,141096,141882,142939,144109,145403,146863,148237,149531
395051,"Gulfport, MS",255237,255382,255248,255623,256191,256945,257261,257755,257999,258122,258160,258410,258891,259989,261340,262554,263624,264891,266503,268293,270275,272575,275182,277840,280506,283096
394658,"Tallahassee, FL",134413,134531,134810,135445,136343,137176,137880,138276,138517,138621,138979,139399,140120,140926,141664,142213,142626,143048,143719,144606,145760,147024,148289,149589,150866,152169
