RegionType,State,Name,FIPSCode,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,countyname_x,state_x,ssacounty_x,fipscounty_x,msa_x,l_x,msaname_x,cbsa_x,cbsaname_x,Region,countyname_y,state_y,ssacounty_y,fipscounty_y,msa_y,l_y,msaname_y,cbsa_y,cbsaname_y
County,IA,Polk County,19153,1.5,1.0,0.7,0.7,0.8,0.9,0.6,POLK,IA,16760,19153,2120.0,,"DES MOINES, IA",19780.0,"Des Moines, IA",Midwest,POLK,IA,16760,19153,2120.0,,"DES MOINES, IA",19780.0,"Des Moines, IA"
County,IA,Scott County,19163,1.3,0.9,0.5,0.6,0.5,0.7,0.7,SCOTT,IA,16810,19163,1960.0,,"DAVENPORT-ROCK ISLAND-MOLINE, IA-IL",19340.0,"Davenport-Moline-Rock Island, IA-IL",Midwest,SCOTT,IA,16810,19163,1960.0,,"DAVENPORT-ROCK ISLAND-MOLINE, IA-IL",19340.0,"Davenport-Moline-Rock Island, IA-IL"
County,KS,Johnson County,20091,0.9,0.6,0.6,0.4,0.5,0.5,0.5,JOHNSON,KS,17450,20091,3760.0,L,"KANSAS CITY, MO-KS",28140.0,"Kansas City, MO-KS",Midwest,JOHNSON,KS,17450,20091,3760.0,L,"KANSAS CITY, MO-KS",28140.0,"Kansas City, MO-KS"
County,KS,Sedgwick County,20173,1.9,1.4,1.1,0.8,1.0,1.2,0.8,SEDGWICK,KS,17860,20173,9040.0,,"WICHITA, KS",48620.0,"Wichita, KS",Midwest,SEDGWICK,KS,17860,20173,9040.0,,"WICHITA, KS",48620.0,"Wichita, KS"
County,KS,Shawnee County,20177,1.6,1.1,1.0,0.8,0.9,1.0,0.9,SHAWNEE,KS,17880,20177,8440.0,,"TOPEKA, KS",45820.0,"Topeka, KS",Midwest,SHAWNEE,KS,17880,20177,8440.0,,"TOPEKA, KS",45820.0,"Topeka, KS"
County,KS,Wyandotte County,20209,3.1,2.0,2.3,1.9,2.2,1.6,1.5,WYANDOTTE,KS,17986,20209,3760.0,L,"KANSAS CITY, MO-KS",28140.0,"Kansas City, MO-KS",Midwest,WYANDOTTE,KS,17986,20209,3760.0,L,"KANSAS CITY, MO-KS",28140.0,"Kansas City, MO-KS"
County,KY,Boone County,21015,2.0,0.9,1.4,0.7,1.0,1.1,0.6,BOONE,KY,18070,21015,1640.0,L,"CINCINNATI, OH-KY-IN",17140.0,"Cincinnati-Middletown, OH-KY-IN",South,BOONE,KY,18070,21015,1640.0,L,"CINCINNATI, OH-KY-IN",17140.0,"Cincinnati-Middletown, OH-KY-IN"
County,KY,Fayette County,21067,1.4,1.1,1.0,0.6,0.6,0.8,0.7,FAYETTE,KY,18330,21067,4280.0,,"LEXINGTON, KY",30460.0,"Lexington-Fayette, KY",South,FAYETTE,KY,18330,21067,4280.0,,"LEXINGTON, KY",30460.0,"Lexington-Fayette, KY"
County,KY,Jefferson County,21111,1.6,0.9,0.9,0.8,1.0,1.0,0.7,JEFFERSON,KY,18550,21111,4520.0,L,"LOUISVILLE, KY-IN",31140.0,"Louisville, KY-IN",South,JEFFERSON,KY,18550,21111,4520.0,L,"LOUISVILLE, KY-IN",31140.0,"Louisville, KY-IN"
County,KY,Kenton County,21117,1.1,0.6,0.5,0.5,0.4,0.7,0.9,KENTON,KY,18580,21117,1640.0,L,"CINCINNATI, OH-KY-IN",17140.0,"Cincinnati-Middletown, OH-KY-IN",South,KENTON,KY,18580,21117,1640.0,L,"CINCINNATI, OH-KY-IN",17140.0,"Cincinnati-Middletown, OH-KY-IN"
County,LA,Bossier Parish,22015,3.0,1.8,2.2,1.7,1.5,1.6,1.4,BOSSIER,LA,19070,22015,7680.0,,"SHREVEPORT-BOSSIER CITY, LA",43340.0,"Shreveport-Bossier City, LA",South,BOSSIER,LA,19070,22015,7680.0,,"SHREVEPORT-BOSSIER CITY, LA",43340.0,"Shreveport-Bossier City, LA"
County,LA,Caddo Parish,22017,3.3,2.8,2.3,1.9,2.5,2.0,1.8,CADDO,LA,19080,22017,7680.0,,"SHREVEPORT-BOSSIER CITY, LA",43340.0,"Shreveport-Bossier City, LA",South,CADDO,LA,19080,22017,7680.0,,"SHREVEPORT-BOSSIER CITY, LA",43340.0,"Shreveport-Bossier City, LA"
County,LA,Calcasieu Parish,22019,3.0,1.9,2.2,1.0,1.6,1.2,1.3,CALCASIEU,LA,19090,22019,3960.0,,"LAKE CHARLES, LA",29340.0,"Lake Charles, LA",South,CALCASIEU,LA,19090,22019,3960.0,,"LAKE CHARLES, LA",29340.0,"Lake Charles, LA"
County,LA,East Baton Rouge Parish,22033,3.4,2.1,1.6,1.1,1.4,1.4,1.2,E. BATON ROUGE,LA,19160,22033,760.0,,"BATON ROUGE, LA",12940.0,"Baton Rouge, LA",South,E. BATON ROUGE,LA,19160,22033,760.0,,"BATON ROUGE, LA",12940.0,"Baton Rouge, LA"
County,LA,Jefferson Parish,22051,3.1,2.2,1.6,1.3,1.3,1.3,1.0,JEFFERSON,LA,19250,22051,5560.0,L,"NEW ORLEANS, LA",35380.0,"New Orleans-Metairie-Kenner, LA",South,JEFFERSON,LA,19250,22051,5560.0,L,"NEW ORLEANS, LA",35380.0,"New Orleans-Metairie-Kenner, LA"
County,LA,Lafayette Parish,22055,2.6,2.0,1.7,1.3,1.2,1.7,1.3,LAFAYETTE,LA,19270,22055,3880.0,,"LAFAYETTE, LA",29180.0,"Lafayette, LA",South,LAFAYETTE,LA,19270,22055,3880.0,,"LAFAYETTE, LA",29180.0,"Lafayette, LA"
County,LA,Livingston Parish,22063,4.5,2.4,2.4,1.7,2.0,2.4,1.8,LIVINGSTON,LA,19310,22063,760.0,,"BATON ROUGE, LA",12940.0,"Baton Rouge, LA",South,LIVINGSTON,LA,19310,22063,760.0,,"BATON ROUGE, LA",12940.0,"Baton Rouge, LA"
County,LA,Orleans Parish,22071,2.9,1.8,1.4,1.0,1.1,1.3,1.1,ORLEANS,LA,19350,22071,5560.0,L,"NEW ORLEANS, LA",35380.0,"New Orleans-Metairie-Kenner, LA",South,ORLEANS,LA,19350,22071,5560.0,L,"NEW ORLEANS, LA",35380.0,"New Orleans-Metairie-Kenner, LA"
County,LA,St. Tammany Parish,22103,2.7,1.6,1.3,0.8,1.2,1.2,0.7,ST. TAMMANY,LA,19510,22103,5560.0,L,"NEW ORLEANS, LA",35380.0,"New Orleans-Metairie-Kenner, LA",South,ST. TAMMANY,LA,19510,22103,5560.0,L,"NEW ORLEANS, LA",35380.0,"New Orleans-Metairie-Kenner, LA"
